Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
189300,193291,false,-1.0,dlg 548: ,
204125,246888,false,-1.0,dlg 549: ,
192721,192151,false,-1.0,dlg 550: ,
171054,137984,false,-1.0,dlg 551: ,
192151,152238,false,-1.0,dlg 552: ,
419083,191010,false,-1.0,dlg 553: ,
184739,188729,false,-1.0,dlg 554: ,
187590,196142,false,-1.0,dlg 555: ,
188730,188159,false,-1.0,dlg 556: ,
186449,1191108,false,-1.0,dlg 557: ,
200134,200703,false,-1.0,dlg 558: ,
201274,147677,false,-1.0,dlg 559: ,
197853,191581,false,-1.0,dlg 560: ,
440179,260573,false,-1.0,dlg 561: ,
402547,501759,false,-1.0,dlg 562: ,
178466,192150,false,-1.0,dlg 563: ,
212677,188160,false,-1.0,dlg 564: ,
218950,250880,false,-1.0,dlg 565: ,
417942,190441,false,-1.0,dlg 566: ,
188160,193861,false,-1.0,dlg 567: ,
564479,3076695,false,-1.0,dlg 568: ,
218380,204695,false,-1.0,dlg 569: ,
187019,187019,false,-1.0,dlg 570: ,
481233,112325,false,-1.0,dlg 571: ,
142546,193862,false,-1.0,dlg 572: ,
338118,262854,false,-1.0,dlg 573: ,
186449,188730,false,-1.0,dlg 574: ,
211537,111756,false,-1.0,dlg 575: ,
185309,190440,false,-1.0,dlg 576: ,
189300,191581,false,-1.0,dlg 577: ,
344960,263423,false,-1.0,dlg 578: ,
177897,185308,false,-1.0,dlg 579: ,
183028,188730,false,-1.0,dlg 580: ,
185309,244608,false,-1.0,dlg 581: ,
186449,192721,false,-1.0,dlg 582: ,
180747,285090,false,-1.0,dlg 583: ,
184168,189300,false,-1.0,dlg 584: ,
1592515,264564,false,-1.0,dlg 585: ,
262283,282239,false,-1.0,dlg 586: ,
272547,206975,false,-1.0,dlg 587: ,
352372,281099,false,-1.0,dlg 588: ,
236625,127720,false,-1.0,dlg 589: ,
184739,185308,false,-1.0,dlg 590: ,
472680,1274924,false,-1.0,dlg 591: ,
186449,189870,false,-1.0,dlg 592: ,
183598,191010,false,-1.0,dlg 593: ,
330135,272547,false,-1.0,dlg 594: ,
202984,191581,false,-1.0,dlg 595: ,
164782,189870,false,-1.0,dlg 596: ,
177896,186449,false,-1.0,dlg 597: ,
388293,273117,false,-1.0,dlg 598: ,
476101,265705,false,-1.0,dlg 599: ,
185309,188730,false,-1.0,dlg 600: ,
350091,197853,false,-1.0,dlg 601: ,
196713,114036,false,-1.0,dlg 602: ,
561057,295924,false,-1.0,dlg 603: ,
193862,196713,false,-1.0,dlg 604: ,
195002,193862,false,-1.0,dlg 605: ,
189870,186449,false,-1.0,dlg 606: ,
181888,181888,false,-1.0,dlg 607: ,
226362,192151,false,-1.0,dlg 608: ,
233774,294784,false,-1.0,dlg 609: ,
189300,193862,false,-1.0,dlg 610: ,
189871,189300,false,-1.0,dlg 611: ,
479522,761191,false,-1.0,dlg 612: ,
188160,186449,false,-1.0,dlg 613: ,
198993,235485,false,-1.0,dlg 614: ,
258292,260572,false,-1.0,dlg 615: ,
1639269,106624,false,-1.0,dlg 616: ,
185309,184169,false,-1.0,dlg 617: ,
192151,193861,false,-1.0,dlg 618: ,
260002,114036,false,-1.0,dlg 619: ,
368907,275967,false,-1.0,dlg 620: ,
363776,567900,false,-1.0,dlg 621: ,
